Timestamp sec,Timestamp nanosec,Target x,Target y,Target z, Target sec, Target nanosec,Entry_point x,Entry_point y,Entry_point z, Entry_point sec, Entry_point nanosec,Tip x,Tip y,Tip z,Tip qw,Tip qx,Tip qy,Tip qz,Tip sec,Tip nanosec,Base x,Base y,Base z,Base qw,Base qx,Base qy,Base qz,Base sec,Base nanosec,J00,J01,J02,J10,J11,J12,J20,J21,J22,J30,J31,J32,J40,J41,J42,J sec,J nanosec,Control x,Control y,Control z,Control sec,Control nanosec,Robot x,Robot z,Robot sec,Robot nanosec
1674571266,236173377,49.85875000000001,-100.0,5.015000000000001,1674571266,136176377,49.85875000000001,0.0,5.015000000000001,1674571266,136176377,0,0,0,0,0,0,0,0,0,49.85875000000001,0.0,5.015000000000001,1.0,0.0,0.0,0.0,1674571265,869740722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04985875000000001,0.005015,1674571266,203394349
1674571266,736161203,49.85875000000001,-100.0,5.015000000000001,1674571266,136176377,49.85875000000001,0.0,5.015000000000001,1674571266,136176377,0,0,0,0,0,0,0,0,0,49.85875000000001,0.0,5.015000000000001,1.0,0.0,0.0,0.0,1674571265,869740722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04985875000000001,0.005015,1674571266,703371979
1674571267,236217169,49.85875000000001,-100.0,5.015000000000001,1674571267,136172036,49.85875000000001,0.0,5.015000000000001,1674571267,136172036,49.85871073398485,-164.99999999998383,5.015038857400427,0.7070365485039942,0.7070361037928173,-0.009981878075862989,0.009981438929836463,1674571267,36874533,49.85875000000001,0.0,5.015000000000001,1.0,0.0,0.0,0.0,1674571265,869740722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04985875000000001,0.005015,1674571267,203353530
1674571267,736171467,49.85875000000001,-100.0,5.015000000000001,1674571267,136172036,49.85875000000001,0.0,5.015000000000001,1674571267,136172036,49.85871073398485,-164.99999999998383,5.015038857400427,0.7070365485039942,0.7070361037928173,-0.009981878075862989,0.009981438929836463,1674571267,636869413,49.85875000000001,0.0,5.015000000000001,1.0,0.0,0.0,0.0,1674571265,869740722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04985875000000001,0.005015,1674571267,703329957
1674571268,236214964,49.85875000000001,-100.0,5.015000000000001,1674571268,136231453,49.85875000000001,0.0,5.015000000000001,1674571268,136231453,49.85871073398485,-164.99999999998383,5.015038857400427,0.7070365485039942,0.7070361037928173,-0.009981878075862989,0.009981438929836463,1674571267,936915581,49.85875000000001,0.0,5.015000000000001,1.0,0.0,0.0,0.0,1674571265,869740722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04985875000000001,0.005015,1674571268,203315329
1674571268,736159423,49.85875000000001,-100.0,5.015000000000001,1674571268,136231453,49.85875000000001,0.0,5.015000000000001,1674571268,136231453,49.85871073398485,-164.99999999998383,5.015038857400427,0.7070365485039942,0.7070361037928173,-0.009981878075862989,0.009981438929836463,1674571268,536907922,49.85875000000001,0.0,5.015000000000001,1.0,0.0,0.0,0.0,1674571265,869740722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04985875000000001,0.005015,1674571268,703294323
1674571269,236213202,49.85875000000001,-100.0,5.015000000000001,1674571269,136199363,49.85875000000001,0.0,5.015000000000001,1674571269,136199363,49.85871073398485,-164.99999999998383,5.015038857400427,0.7070365485039942,0.7070361037928173,-0.009981878075862989,0.009981438929836463,1674571269,136908834,49.85875000000001,0.0,5.015000000000001,1.0,0.0,0.0,0.0,1674571265,869740722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04985875000000001,0.005015,1674571269,203273089
1674571269,736162765,49.85875000000001,-100.0,5.015000000000001,1674571269,136199363,49.85875000000001,0.0,5.015000000000001,1674571269,136199363,49.85871073398485,-164.99999999998383,5.015038857400427,0.7070365485039942,0.7070361037928173,-0.009981878075862989,0.009981438929836463,1674571269,436877782,49.85875000000001,0.0,5.015000000000001,1.0,0.0,0.0,0.0,1674571265,869740722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04985875000000001,0.005015,1674571269,703254993
1674571270,236187859,49.85875000000001,-100.0,5.015000000000001,1674571270,136219330,49.85875000000001,0.0,5.015000000000001,1674571270,136219330,49.85871073398485,-164.99999999998383,5.015038857400427,0.7070365485039942,0.7070361037928173,-0.009981878075862989,0.009981438929836463,1674571270,36854782,49.85875000000001,-5.0,5.015000000000001,1.0,0.0,0.0,0.0,1674571269,885499304,-0.24194954412816497,-0.0052900385715621626,0.1712831907255882,-0.09002712760211334,0.305256373374273,-0.010165332825757253,0.16812859635496816,-0.012950359858824288,-0.11577314298197237,-0.023721198982012463,-0.00010632521645966367,-0.003846846623248373,-0.004802990079040923,-9.57766743378633e-05,-0.037512536680268105,1674571269,886237605,49.81276265225859,-10.0,5.0210789856203855,1674571269,925205075,0.0498125,0.00502,1674571270,203234217
1674571270,736172181,49.85875000000001,-100.0,5.015000000000001,1674571270,136219330,49.85875000000001,0.0,5.015000000000001,1674571270,136219330,49.85871073398485,-164.99999999998383,5.015038857400427,0.7070365485039942,0.7070361037928173,-0.009981878075862989,0.009981438929836463,1674571270,636867759,49.85875000000001,-5.0,5.015000000000001,1.0,0.0,0.0,0.0,1674571269,885499304,-0.24194954412816497,-0.0052900385715621626,0.1712831907255882,-0.09002712760211334,0.305256373374273,-0.010165332825757253,0.16812859635496816,-0.012950359858824288,-0.11577314298197237,-0.023721198982012463,-0.00010632521645966367,-0.003846846623248373,-0.004802990079040923,-9.57766743378633e-05,-0.037512536680268105,1674571269,886237605,49.81276265225859,-10.0,5.0210789856203855,1674571269,925205075,0.0498125,0.00502,1674571270,703219938
1674571271,236163772,49.85875000000001,-100.0,5.015000000000001,1674571271,136225641,49.85875000000001,0.0,5.015000000000001,1674571271,136225641,49.85871073398485,-164.99999999998383,5.015038857400427,0.7070365485039942,0.7070361037928173,-0.009981878075862989,0.009981438929836463,1674571270,936868803,49.85875000000001,-5.0,5.015000000000001,1.0,0.0,0.0,0.0,1674571269,885499304,-0.24194954412816497,-0.0052900385715621626,0.1712831907255882,-0.09002712760211334,0.305256373374273,-0.010165332825757253,0.16812859635496816,-0.012950359858824288,-0.11577314298197237,-0.023721198982012463,-0.00010632521645966367,-0.003846846623248373,-0.004802990079040923,-9.57766743378633e-05,-0.037512536680268105,1674571269,886237605,49.81276265225859,-10.0,5.0210789856203855,1674571269,925205075,0.0498125,0.00502,1674571271,203198638
1674571271,736160039,49.85875000000001,-100.0,5.015000000000001,1674571271,136225641,49.85875000000001,0.0,5.015000000000001,1674571271,136225641,49.85871073398485,-164.99999999998383,5.015038857400427,0.7070365485039942,0.7070361037928173,-0.009981878075862989,0.009981438929836463,1674571271,536909736,49.85875000000001,-5.0,5.015000000000001,1.0,0.0,0.0,0.0,1674571269,885499304,-0.24194954412816497,-0.0052900385715621626,0.1712831907255882,-0.09002712760211334,0.305256373374273,-0.010165332825757253,0.16812859635496816,-0.012950359858824288,-0.11577314298197237,-0.023721198982012463,-0.00010632521645966367,-0.003846846623248373,-0.004802990079040923,-9.57766743378633e-05,-0.037512536680268105,1674571269,886237605,49.81276265225859,-10.0,5.0210789856203855,1674571269,925205075,0.0498125,0.00502,1674571271,703180930
1674571272,236210896,49.85875000000001,-100.0,5.015000000000001,1674571272,136175472,49.85875000000001,0.0,5.015000000000001,1674571272,136175472,49.85871073398485,-164.99999999998383,5.015038857400427,0.7070365485039942,0.7070361037928173,-0.009981878075862989,0.009981438929836463,1674571272,136844962,49.85875000000001,-5.0,5.015000000000001,1.0,0.0,0.0,0.0,1674571269,885499304,-0.24194954412816497,-0.0052900385715621626,0.1712831907255882,-0.09002712760211334,0.305256373374273,-0.010165332825757253,0.16812859635496816,-0.012950359858824288,-0.11577314298197237,-0.023721198982012463,-0.00010632521645966367,-0.003846846623248373,-0.004802990079040923,-9.57766743378633e-05,-0.037512536680268105,1674571269,886237605,49.81276265225859,-10.0,5.0210789856203855,1674571269,925205075,0.0498125,0.00502,1674571272,203162574
1674571272,736210653,49.85875000000001,-100.0,5.015000000000001,1674571272,136175472,49.85875000000001,0.0,5.015000000000001,1674571272,136175472,49.85871073398485,-164.99999999998383,5.015038857400427,0.7070365485039942,0.7070361037928173,-0.009981878075862989,0.009981438929836463,1674571272,436906107,49.85875000000001,-5.0,5.015000000000001,1.0,0.0,0.0,0.0,1674571269,885499304,-0.24194954412816497,-0.0052900385715621626,0.1712831907255882,-0.09002712760211334,0.305256373374273,-0.010165332825757253,0.16812859635496816,-0.012950359858824288,-0.11577314298197237,-0.023721198982012463,-0.00010632521645966367,-0.003846846623248373,-0.004802990079040923,-9.57766743378633e-05,-0.037512536680268105,1674571269,886237605,49.81276265225859,-10.0,5.0210789856203855,1674571269,925205075,0.0498125,0.00502,1674571272,703110418
1674571273,236194592,49.85875000000001,-100.0,5.015000000000001,1674571273,136191069,49.85875000000001,0.0,5.015000000000001,1674571273,136191069,49.8586814711024,-164.99999999996277,5.0150675913013885,0.7069843159368346,0.7069837277463265,-0.013175753575944442,0.013175175100924488,1674571273,36900519,49.85875000000001,-5.0,5.015000000000001,1.0,0.0,0.0,0.0,1674571269,885499304,-0.24194954412816497,-0.0052900385715621626,0.1712831907255882,-0.09002712760211334,0.305256373374273,-0.010165332825757253,0.16812859635496816,-0.012950359858824288,-0.11577314298197237,-0.023721198982012463,-0.00010632521645966367,-0.003846846623248373,-0.004802990079040923,-9.57766743378633e-05,-0.037512536680268105,1674571269,886237605,49.81276265225859,-10.0,5.0210789856203855,1674571269,925205075,0.0498125,0.00502,1674571273,203104836
1674571273,736212610,49.85875000000001,-100.0,5.015000000000001,1674571273,136191069,49.85875000000001,0.0,5.015000000000001,1674571273,136191069,49.8586814711024,-164.99999999996277,5.0150675913013885,0.7069843159368346,0.7069837277463265,-0.013175753575944442,0.013175175100924488,1674571273,636902800,49.85875000000001,-5.0,5.015000000000001,1.0,0.0,0.0,0.0,1674571269,885499304,-0.24194954412816497,-0.0052900385715621626,0.1712831907255882,-0.09002712760211334,0.305256373374273,-0.010165332825757253,0.16812859635496816,-0.012950359858824288,-0.11577314298197237,-0.023721198982012463,-0.00010632521645966367,-0.003846846623248373,-0.004802990079040923,-9.57766743378633e-05,-0.037512536680268105,1674571269,886237605,49.81276265225859,-10.0,5.0210789856203855,1674571269,925205075,0.0498125,0.00502,1674571273,703112871
